PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2019-10-10 16:27:57,financeiro14,1,1,ILHA 1 - RICOH_SP 5200,"InteR:net:::Bank.ing----CAiXA",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,262kb,
2019-10-10 16:28:04,suporte.comercial3,1,1,COMERCIAL - SANSUNG,"Microsoft Word - Documento1",WTS-18,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,187kb,
2019-10-10 16:28:04,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"ACFrOgCmWK3taBdAYIzuHTvOK_JXP4QjiOZ_Y1K...cblz6cqDn3g-xV8_HhrP4qYowtEY_1rV-9srk=",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,330kb,
2019-10-10 16:28:15,condominio23,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"adelaide guidini 09.2019 boletos.pdf",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,227kb,
2019-10-10 16:28:27,coord.admoperacional,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"GetFileAttachment",WTS-18,A4,PCL6,,,DUPLEX,GRAYSCALE,138kb,
2019-10-10 16:28:33,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"ACFrOgC31RQebVcZO3IL1ZqLZU8pbjakSoB7Q5Y...JKWEKKkZRdKX79K5EETkyc5nqPW5Nj8Q1Ul8I=",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,386kb,
2019-10-10 16:28:42,imoveis4,1,1,COMERCIAL - SANSUNG,"",IMOVEIS-01,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,128kb,
2019-10-10 16:28:55,coord.admoperacional,7,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",WTS-18,A4,PCL6,,,DUPLEX,GRAYSCALE,1373kb,
2019-10-10 16:29:03,financeiro14,1,1,ILHA 1 - RICOH_SP 5200,"InteRnet....Banking cAIXA",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,261kb,
2019-10-10 16:29:12,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"Boleto6341_CONDOMINIO EDIFICIO RUTH ANNE_08102019_110801.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,502kb,
2019-10-10 16:29:22,imoveis4,1,1,COMERCIAL - SANSUNG,"",IMOVEIS-01,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,128kb,
2019-10-10 16:29:30,coord.admoperacional,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"GetFileAttachment",WTS-18,A4,PCL6,,,DUPLEX,GRAYSCALE,149kb,
2019-10-10 16:29:36,condominio8,1,1,Centro - Brother,"DARE/SC - Documento de Arrecadação de Receitas Estaduais",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,6620kb,
2019-10-10 16:29:39,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"Nota Fiscal de Serviço Eletrônica - Série NFS-e Nº 446",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,337kb,
2019-10-10 16:29:42,estreito4,1,1,Estreito - Brother,"Microsoft Word - Documento1",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,705kb,
2019-10-10 16:29:50,condominio8,1,1,Centro - Brother,"DARE/SC - Documento de Arrecadação de Receitas Estaduais",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,6627kb,
2019-10-10 16:29:59,financeiro3,1,1,ILHA 3 - RICOH_SP 5210,"0",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,606kb,
2019-10-10 16:30:24,condominio8,1,1,Centro - Brother,"DARE/SC - Documento de Arrecadação de Receitas Estaduais",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,6599kb,
2019-10-10 16:30:36,condominio8,1,1,Centro - Brother,"DARE/SC - Documento de Arrecadação de Receitas Estaduais",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,6618kb,
2019-10-10 16:30:36,sup1,2,1,RH - SANSUNG,"Microsoft Word - curriculo Alex",APOIO-01,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,327kb,
2019-10-10 16:30:50,condominio8,1,1,Centro - Brother,"DARE/SC - Documento de Arrecadação de Receitas Estaduais",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,6600kb,
2019-10-10 16:31:04,condominio8,1,1,Centro - Brother,"DETRAN/SC - Guia de Recolhimento de Débitos",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,2028kb,
2019-10-10 16:31:11,condominio34,1,1,ILHA 3 - RICOH_SP 5210,"0",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,466kb,
2019-10-10 16:31:16,condominio8,1,1,Centro - Brother,"DARE/SC - Documento de Arrecadação de Receitas Estaduais",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,6634kb,
2019-10-10 16:31:28,condominio8,1,1,Centro - Brother,"DETRAN/SC - Guia de Recolhimento de Débitos",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,2029kb,
2019-10-10 16:31:43,financeiro14,1,1,ILHA 1 - RICOH_SP 5200,"Sem título",FINANCEIRO-20,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,34kb,
2019-10-10 16:31:45,financeiro21,1,1,ILHA 3 - RICOH_SP 5210,"Supergasbras.pdf",GESTAOFIN-06,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1190kb,
2019-10-10 16:31:58,condominio34,1,1,ILHA 3 - RICOH_SP 5210,"0",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,463kb,
2019-10-10 16:32:36,estagiariobalancet12,1,1,ILHA 1 - RICOH_SP 5200,"190140110430794.pdf",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,380kb,
2019-10-10 16:35:54,condominio4,1,1,ILHA 1 - RICOH_SP 5200,"joaomachado_declaracoes_1570736059502.pdf",BALANCETE-04,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,335kb,
2019-10-10 16:35:57,pessoal11,1,1,DP1 -Ricoh,"FPEG103.Imp",DP10-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,44kb,
2019-10-10 16:35:57,pessoal11,1,1,DP1 -Ricoh,"FPEG104.Imp",DP10-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,46kb,
2019-10-10 16:35:59,condominio17,1,1,ILHA 1 - RICOH_SP 5200,"A_lanca_lst_22AList.php",BALANCETE03-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,673kb,
2019-10-10 16:36:56,financeiro11,2,1,ILHA 1 - RICOH_SP 5200,"Relatório Domínio PDF",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,676kb,
2019-10-10 16:37:04,financeiro12,2,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,412kb,
2019-10-10 16:37:09,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"RUTH ANNE.PDF",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,277kb,
2019-10-10 16:37:10,financeiro12,1,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,258kb,
2019-10-10 16:37:02,condominio3,33,1,Palhoça - Brother DCP-L2540DW,"55a3978b-7e7d-44f8-8936-c6d0f30f63dcdespesas_2.pdf",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,841132kb,
2019-10-10 16:37:34,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"Relatório Domínio PDF",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,326kb,
2019-10-10 16:37:49,estreito4,1,1,Estreito - Brother,"Microsoft Word - Documento1",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,729kb,
2019-10-10 16:37:56,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"08.2019.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,571kb,
2019-10-10 16:38:03,financeiro11,1,1,ILHA 1 - RICOH_SP 5200,"Relatório Domínio PDF",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,326kb,
2019-10-10 16:38:22,financeiro4,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"Unicred - Internet Banking",FINANCEIRO-05,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,134kb,
2019-10-10 16:38:34,financeiro1,1,1,ILHA 1 - RICOH_SP 5200,"Unicred - Internet Banking",FINANCEIRO-24,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,225kb,
2019-10-10 16:38:42,financeiro11,1,5,ILHA 1 - RICOH_SP 5200,"CND Estadual 03-11-2019.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,385kb,
2019-10-10 16:38:52,financeiro11,1,5,ILHA 1 - RICOH_SP 5200,"CND FGTS - 28-10-2019.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,181kb,
2019-10-10 16:38:55,condominio25,3,1,ILHA 3 - RICOH_SP 5210,"Crystal Reports ActiveX Designer - BalAnual.rpt",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,137kb,
2019-10-10 16:38:57,financeiro8,1,1,ILHA 1 - RICOH_SP 5200,"Microsoft Word - Nota explicativa Sergio",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,121kb,
2019-10-10 16:39:02,financeiro11,1,5,ILHA 1 - RICOH_SP 5200,"CND Municipal - 04-11-2019.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,172kb,
2019-10-10 16:39:13,financeiro11,1,5,ILHA 1 - RICOH_SP 5200,"CND Travalhista 08-11-2019.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,483kb,
2019-10-10 16:39:21,financeiro11,1,5,ILHA 1 - RICOH_SP 5200,"CND Uniao 29-12-2019.pdf",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,227kb,
2019-10-10 16:39:30,condominio17,2,1,ILHA 1 - RICOH_SP 5200,"lstMoviContaCorrente.php",BALANCETE03-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,524kb,
2019-10-10 16:39:38,pessoal7,1,2,DP1 -Ricoh,"CSE - Conectividade Social / Empregador",WTS-18,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,181kb,
2019-10-10 16:40:03,condominio25,3,1,ILHA 3 - RICOH_SP 5210,"Crystal Reports ActiveX Designer - BalAnual.rpt",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,136kb,
2019-10-10 16:40:09,pessoal7,1,2,DP1 -Ricoh,"CSE - Conectividade Social / Empregador",WTS-18,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,219kb,
2019-10-10 16:40:11,financeiro12,1,1,ILHA 1 - RICOH_SP 5200,"Unicred - Internet Banking",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,199kb,
2019-10-10 16:40:25,condominio25,3,1,ILHA 3 - RICOH_SP 5210,"Crystal Reports ActiveX Designer - Bal04.rpt",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,112kb,
2019-10-10 16:40:58,pessoal7,2,2,DP1 -Ricoh,"FPFR002.Imp",WTS-18,A4,PCL6,,,DUPLEX,GRAYSCALE,88kb,
2019-10-10 16:42:24,financeiro5,2,1,ILHA 1 - RICOH_SP 5200,"FTCB104.Imp",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,127kb,
2019-10-10 16:42:31,condominio17,3,1,ILHA 1 - RICOH_SP 5200,"A_lst_02A.php",BALANCETE03-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,477kb,
2019-10-10 16:42:43,financeiro8,1,1,ILHA 1 - RICOH_SP 5200,"A_lanca_lst_03A2.php",GESTAOFIN-02,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,368kb,
2019-10-10 16:42:57,condominio17,1,1,ILHA 1 - RICOH_SP 5200,"SindicoPro",BALANCETE03-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,57kb,
2019-10-10 16:43:04,financeiro12,1,1,ILHA 1 - RICOH_SP 5200,"Banco Bradesco S/A",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,117kb,
2019-10-10 16:43:14,coord.baixas,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"43419",BAIXAS-01,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,398kb,
2019-10-10 16:43:16,financeiro8,1,1,ILHA 1 - RICOH_SP 5200,"A_lanca_lst_03A2.php",GESTAOFIN-02,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,55kb,
2019-10-10 16:43:23,condominio17,1,1,ILHA 1 - RICOH_SP 5200,"SindicoPro",BALANCETE03-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,88kb,
2019-10-10 16:43:26,financeiro4,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"Sicredi",FINANCEIRO-05,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,190kb,
2019-10-10 16:43:43,coord.baixas,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"43420",BAIXAS-01,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,381kb,
2019-10-10 16:44:26,financeiro8,3,1,ILHA 1 - RICOH_SP 5200,"A_lanca_lst_44B2.php",GESTAOFIN-02,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,587kb,
2019-10-10 16:44:30,imoveis4,9,1,COMERCIAL - SANSUNG,"Contrato.pdf",IMOVEIS-01,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,13245kb,
2019-10-10 16:45:51,condominio58,2,1,ILHA 2 - RICOH_SP 5210,"GetFileAttachment",COBRANCA-03,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,315kb,
2019-10-10 16:46:02,financeiro5,1,1,ILHA 1 - RICOH_SP 5200,"FTCB104.Imp",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,64kb,
2019-10-10 16:46:13,Estagiario1.fiscal,4,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",CONT-ASSOC-01,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1814kb,
2019-10-10 16:46:17,financeiro12,1,1,ILHA 1 - RICOH_SP 5200,"Banco Itaú S/A",FINANCEIRO12,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,164kb,
2019-10-10 16:46:17,financeiro8,1,1,ILHA 1 - RICOH_SP 5200,"Arquivo PDF",GESTAOFIN-02,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,109kb,
2019-10-10 16:46:19,financeiro5,1,1,ILHA 1 - RICOH_SP 5200,"FTCB104.Imp",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,63kb,
2019-10-10 16:46:44,Estagiario1.fiscal,4,1,ILHA 1 - RICOH_SP 5200,"GetFileAttachment",CONT-ASSOC-01,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1814kb,
2019-10-10 16:46:44,imoveis4,1,1,COMERCIAL - SANSUNG,"13 x 18 cm. (2)",IMOVEIS-01,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,224kb,
2019-10-10 16:47:06,financeiro5,1,1,ILHA 1 - RICOH_SP 5200,"Microsoft Word - Capa de Movimentação  GE 2019.docx",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,109kb,
2019-10-10 16:47:15,financeiro1,1,1,ILHA 1 - RICOH_SP 5200,"Unicred - Internet Banking",FINANCEIRO-24,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,137kb,
2019-10-10 16:47:31,estreito4,1,1,Estreito - Brother,"Microsoft Word - Documento1",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,729kb,
2019-10-10 16:47:35,financeiro14,1,1,ILHA 1 - RICOH_SP 5200,"Unicred - Internet Banking",FINANCEIRO-20,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,115kb,
2019-10-10 16:47:58,condominio1,1,1,Kobrasol - Brother DCP-L2540DW,"Crystal Reports ActiveX Designer - Rec04.rpt",WTS-15,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,341kb,
2019-10-10 16:48:15,financeiro9,1,1,ILHA 1 - RICOH_SP 5200,"Banco Bradesco S/A",00-FIN-004,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,130kb,
2019-10-10 16:48:42,financeiro3,1,1,ILHA 3 - RICOH_SP 5210,"Inte.rNet____BaNking----CA.IXa",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,134kb,
2019-10-10 16:48:58,condominio17,2,1,ILHA 1 - RICOH_SP 5200,"A_lanca_lst_22AList.php",BALANCETE03-PC,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,345kb,
2019-10-10 16:49:06,condominio32,1,1,ILHA 4 (RASCUNHO) - RICOH_SP 5200,"2077 CONDOMINIO RESIDENCIAL ILHA DO MEL.pdf",RH-04,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,259kb,
2019-10-10 16:49:07,condominio59,2,1,ILHA 3 - RICOH_SP 5210,"Crystal Reports ActiveX Designer - Rec02.rpt",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,90kb,
2019-10-10 16:49:17,condominio59,2,1,ILHA 3 - RICOH_SP 5210,"Crystal Reports ActiveX Designer - Rec05.rpt",WTS-17,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,85kb,
2019-10-10 16:49:29,condominio58,2,1,ILHA 2 - RICOH_SP 5210,"GetFileAttachment",COBRANCA-03,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,301kb,
2019-10-10 16:49:29,financeiro9,1,1,ILHA 1 - RICOH_SP 5200,"Banco Bradesco S/A",00-FIN-004,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,128kb,
2019-10-10 16:49:38,financeiro3,1,1,ILHA 3 - RICOH_SP 5210,"In-t ernet::::Banking CA_IXA",WTS-FIN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,134kb,
